"filename", "language", "JSON", "Markdown", "XML", "JavaScript", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\admin\upload\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 293, 0, 0, 14, 69, 376
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\agents\all-leads\page.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 1, 6, 15
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\agents\create-leads\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 240, 0, 0, 14, 56, 310
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\agents\layout.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 0, 9, 100
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\agents\page.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 12, 41, 142
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\agents\payments\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 247, 49, 92, 388
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\layout.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\leads\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\app\page.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\CallCountTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 12, 79
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\CourseSellingSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 234, 0, 0, 13, 85, 332
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\LeadsGrowthChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 0, 0, 10, 88
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\LeadsStatusPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 6, 26, 146
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\SeminarPieChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 2, 8, 77
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\SortableHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Dashboard\TopSellingCourse.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 7, 14, 65
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\components\Homepage\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 4, 13, 104
